CMDLINE /home/jaime/anaconda3/bin/python measure_memory_usage.py
MEM 1.871094 1579035309.5826
MEM 11.328125 1579035309.6831
MEM 16.472656 1579035309.7836
MEM 21.875000 1579035309.8844
MEM 25.652344 1579035309.9851
MEM 28.910156 1579035310.0859
MEM 32.824219 1579035310.1864
MEM 35.968750 1579035310.2870
MEM 37.585938 1579035310.3877
MEM 44.285156 1579035310.4885
MEM 50.496094 1579035310.5891
MEM 67.753906 1579035310.6896
MEM 73.710938 1579035310.7902
MEM 75.125000 1579035310.8909
MEM 76.441406 1579035310.9915
MEM 84.343750 1579035311.0923
MEM 86.644531 1579035311.1930
MEM 87.492188 1579035311.2937
MEM 87.742188 1579035311.3943
MEM 87.742188 1579035311.4950
MEM 87.742188 1579035311.5997
MEM 87.914062 1579035311.7005
MEM 87.914062 1579035311.8011
MEM 89.183594 1579035311.9019
MEM 91.238281 1579035312.0027
MEM 93.738281 1579035312.1033
MEM 94.242188 1579035312.2041
MEM 96.746094 1579035312.3079
MEM 97.257812 1579035312.4087
MEM 98.859375 1579035312.5094
MEM 101.750000 1579035312.6101
MEM 102.289062 1579035312.7109
MEM 107.789062 1579035312.8158
MEM 116.800781 1579035312.9167
MEM 120.671875 1579035313.0175
MEM 122.218750 1579035313.1184
MEM 122.476562 1579035313.2190
MEM 123.507812 1579035313.3199
MEM 124.796875 1579035313.4206
MEM 125.828125 1579035313.5214
MEM 126.859375 1579035313.6222
MEM 127.632812 1579035313.7259
MEM 128.148438 1579035313.8267
MEM 128.664062 1579035313.9275
MEM 129.953125 1579035314.0283
MEM 130.468750 1579035314.1291
MEM 130.984375 1579035314.2299
MEM 131.500000 1579035314.3306
MEM 131.757812 1579035314.4315
MEM 132.273438 1579035314.5362
MEM 132.789062 1579035314.6370
MEM 133.304688 1579035314.7379
MEM 133.820312 1579035314.8387
MEM 134.593750 1579035314.9394
MEM 135.109375 1579035315.0402
MEM 135.367188 1579035315.1410
MEM 135.882812 1579035315.2417
MEM 136.140625 1579035315.3425
MEM 136.656250 1579035315.4433
MEM 136.914062 1579035315.5441
MEM 137.171875 1579035315.6450
MEM 137.429688 1579035315.7467
MEM 137.945312 1579035315.8480
MEM 138.203125 1579035315.9489
MEM 138.718750 1579035316.0500
MEM 138.976562 1579035316.1509
MEM 139.234375 1579035316.2516
MEM 139.492188 1579035316.3524
MEM 141.039062 1579035316.4532
MEM 141.296875 1579035316.5539
MEM 141.554688 1579035316.6547
MEM 141.812500 1579035316.7555
MEM 142.070312 1579035316.8596
MEM 142.328125 1579035316.9603
MEM 142.585938 1579035317.0644
MEM 142.843750 1579035317.1652
MEM 143.101562 1579035317.2660
MEM 143.546875 1579035317.3671
MEM 143.800781 1579035317.4679
MEM 144.058594 1579035317.5688
MEM 144.316406 1579035317.6723
MEM 144.574219 1579035317.7730
MEM 144.832031 1579035317.8740
MEM 145.089844 1579035317.9749
MEM 145.605469 1579035318.0758
MEM 145.863281 1579035318.1766
MEM 146.121094 1579035318.2774
MEM 146.378906 1579035318.3783
MEM 146.636719 1579035318.4790
MEM 146.894531 1579035318.5801
MEM 147.152344 1579035318.6807
MEM 147.410156 1579035318.7818
MEM 147.667969 1579035318.8839
MEM 147.925781 1579035318.9847
MEM 148.183594 1579035319.0856
MEM 148.441406 1579035319.1865
MEM 148.570312 1579035319.2873
MEM 148.824219 1579035319.3917
MEM 149.339844 1579035319.4927
MEM 149.597656 1579035319.5937
MEM 149.597656 1579035319.6944
MEM 150.113281 1579035319.7952
MEM 150.371094 1579035319.8963
MEM 150.371094 1579035319.9970
MEM 150.628906 1579035320.0995
MEM 150.886719 1579035320.2004
MEM 151.144531 1579035320.3012
MEM 151.660156 1579035320.4020
MEM 151.660156 1579035320.5028
MEM 151.660156 1579035320.6035
MEM 151.660156 1579035320.7042
MEM 151.660156 1579035320.8050
MEM 151.660156 1579035320.9055
MEM 151.660156 1579035321.0062
MEM 151.660156 1579035321.1070
MEM 151.660156 1579035321.2076
MEM 151.660156 1579035321.3083
MEM 151.660156 1579035321.4088
MEM 158.878906 1579035321.5096
MEM 162.488281 1579035321.6102
MEM 165.324219 1579035321.7111
MEM 167.902344 1579035321.8118
MEM 169.964844 1579035321.9126
MEM 169.964844 1579035322.0138
MEM 171.511719 1579035322.1165
MEM 173.316406 1579035322.2172
MEM 175.121094 1579035322.3179
MEM 176.667969 1579035322.4196
MEM 178.093750 1579035322.5204
MEM 179.382812 1579035322.6211
MEM 180.605469 1579035322.7218
MEM 181.574219 1579035322.8225
MEM 182.347656 1579035322.9233
MEM 182.742188 1579035323.0241
MEM 183.769531 1579035323.1247
MEM 186.089844 1579035323.2284
MEM 186.089844 1579035323.3292
MEM 186.089844 1579035323.4300
MEM 186.089844 1579035323.5309
MEM 186.089844 1579035323.6317
MEM 186.089844 1579035323.7325
MEM 186.089844 1579035323.8333
MEM 186.089844 1579035323.9341
MEM 186.089844 1579035324.0349
MEM 186.089844 1579035324.1356
MEM 186.089844 1579035324.2364
MEM 186.089844 1579035324.3389
MEM 186.089844 1579035324.4397
MEM 186.347656 1579035324.5405
MEM 186.347656 1579035324.6411
MEM 186.347656 1579035324.7419
MEM 186.863281 1579035324.8427
MEM 186.863281 1579035324.9435
MEM 186.863281 1579035325.0444
MEM 186.863281 1579035325.1452
MEM 186.863281 1579035325.2461
MEM 186.863281 1579035325.3468
MEM 186.863281 1579035325.4475
MEM 186.863281 1579035325.5483
MEM 186.863281 1579035325.6490
MEM 186.863281 1579035325.7497
MEM 186.863281 1579035325.8504
MEM 186.863281 1579035325.9511
MEM 187.378906 1579035326.0519
MEM 187.378906 1579035326.1526
MEM 187.378906 1579035326.2533
MEM 187.378906 1579035326.3539
MEM 187.378906 1579035326.4544
MEM 187.378906 1579035326.5549
MEM 187.378906 1579035326.6554
MEM 187.378906 1579035326.7559
MEM 187.378906 1579035326.8565
MEM 187.378906 1579035326.9570
MEM 187.378906 1579035327.0574
MEM 187.378906 1579035327.1578
MEM 187.378906 1579035327.2582
MEM 187.378906 1579035327.3588
MEM 187.378906 1579035327.4592
MEM 187.378906 1579035327.5596
